# PhysioNet Challenge 2023 scores for unofficial teams at 72 hours after return of spontaneous circulation (ROSC)
Team,Challenge Score on the training set,Challenge Score on the validation set,Challenge Score on the test set,Outcome AUROC on the training set,Outcome AUROC on the validation set,Outcome AUROC on the test set,Outcome AUPRC on the training set,Outcome AUPRC on the validation set,Outcome AUPRC on the test set,Outcome Accuracy on the training set,Outcome Accuracy on the validation set,Outcome Accuracy on the test set,Outcome F-measure on the training set,Outcome F-measure on the validation set,Outcome F-measure on the test set,CPC MSE on the training set,CPC MSE on the validation set,CPC MSE on the test set,CPC MAE on the training set,CPC MAE on the validation set,CPC MAE on the test set
osu_cse_team_2,0.455,0.537,0.327,0.777,0.751,0.744,0.854,0.862,0.819,0.712,0.636,0.729,0.644,0.544,0.638,2.413,3.041,2.824,1.267,1.453,1.364
OUS_IVS,0.325,0.284,0.371,0.746,0.739,0.758,0.806,0.808,0.838,0.723,0.738,0.775,0.688,0.714,0.724,3.803,3.817,3.424,1.625,1.604,1.599
PA_HB,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PandaWarrior,0.060,0.075,0.124,0.584,0.485,0.621,0.674,0.633,0.736,0.629,0.626,0.66,0.386,0.385,0.398,4.678,4.631,4.38,1.546,1.536,1.457
PES_OC,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ROSCy Business,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SD-DataSurfers,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SHE Lab,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
sparty-23,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Surv_to_End,0.395,0.254,0.361,0.771,0.644,0.712,0.845,0.763,0.812,0.664,0.645,0.67,0.492,0.456,0.444,1.977,3.070,2.699,1.111,1.478,1.353
swanseacsvision,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Team KU,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
TEAM_NEURO_KGP,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
terablue_vikings,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
The_Bee_Team,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
The_Terrables,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
TheBIGbrain,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
TsuiLab@CHOP,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
UIU_MAU,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
UniA4Life,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
UOIML,0.330,0.388,0.579,0.786,0.696,0.808,0.836,0.794,0.877,0.740,0.682,0.745,0.723,0.664,0.71,3.631,3.944,3.497,1.114,1.234,1.078
UPFantastic,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
UTU_EEGenies,0.531,0.388,0.396,0.827,0.724,0.773,0.890,0.837,0.856,0.746,0.673,0.729,0.705,0.626,0.641,2.131,2.925,2.632,1.163,1.444,1.315
vee2team,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
VitalLab,0.241,0.179,0.248,0.625,0.539,0.552,0.743,0.675,0.724,0.605,0.551,0.542,0.517,0.490,0.483,3.531,3.872,4.034,1.635,1.751,1.75
WesternUni,0.579,0.687,0.48,0.866,0.855,0.795,0.916,0.916,0.883,0.822,0.785,0.784,0.806,0.772,0.744,2.254,2.525,2.685,1.038,1.142,1.142
WomenLifeFreedom,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ZJUT-Luckycloud,0.453,0.507,0.406,0.786,0.763,0.772,0.856,0.858,0.847,0.743,0.692,0.745,0.718,0.672,0.693,2.712,2.716,2.856,1.317,1.359,1.262
